温经散寒,祛风除湿
养血和血,祛风除湿
祛风除湿,行气止痛
祛风除湿,清热和血
祛风除湿,通络止痛
祛风除湿,温阳利水
祛风除湿,和营止痛
益气助阳,祛风除湿
祛风除湿,通经活络
补益肝肾,祛风除湿
祛风除湿,清热解毒
祛风除湿
祛风除湿
养血活血,祛风除湿
补气养血,祛风除湿
祛风除湿,活血通络
祛风除湿
祛风除湿,行瘀止痛
祛风除湿,清热解毒
养肝健脾,祛风除湿
祛风除湿,养血和营
祛风除湿,活血止痒
祛风除湿,升阳调经
祛风除湿,清热解毒
祛风除湿,活血通脉
祛风除湿,活血通络
温经散寒,祛风除湿,活血止痛
祛风除湿,温经通络
祛风除湿,活血通痹
补气养血,祛风除湿
祛风除湿,活血通络
补血益气,祛风除湿
祛风除湿,活血通络
祛风除湿,活血止痛
祛风除湿,清热解毒
温阳补肾,祛风除湿,化瘀通络
祛风除湿,散寒止痛
祛风除湿,活血通络
温补肝肾,祛风除湿
解肌发汗,祛风除湿
祛风除湿,温经止痛
祛风除湿,温经通络
祛风除湿,凉血解毒
祛风除湿,活血通络
祛风除湿,温经通络
补肝益肾,祛风除湿
祛风除湿,活血通络
助阳益气,祛风除湿,活血通络
祛风除湿,活血解毒
祛风除湿,解毒杀虫
祛风除湿,活血解毒
祛风除湿,润肤止痒
补肾壮阳,祛风除湿
补肾养肝,祛风除湿,活血行瘀
祛风除湿,行气和血
祛风除湿,化瘀通络,补气养血,强筋壮骨
益气温经,祛风除湿
祛风除湿
祛风除湿,敛疮生肌
祛风除湿,舒筋止痛
祛风除湿,止痛消肿
祛风除湿,润肤增白
祛风除湿,散瘀止痛
解肌清热,祛风除湿
祛风除湿,杀虫止痒
祛风除湿,通经活络
益气养血,祛风除湿
祛风除湿,舒经通络
祛风除湿
祛风除湿,活血止痛
祛风除湿,散寒清热
祛风除湿,活血通络
祛风除湿,解表散邪
祛风除湿,养肝舒筋
祛风除湿,益气安神
祛风除湿,散寒止痛
祛风除湿,行气活血
祛风除湿,凉血解毒
祛风除湿,杀虫止痒
祛风除湿,舒筋活络
祛风除湿,消肿止痛
补肾养血,祛风除湿
祛风除湿,散寒舒筋
祛风除湿,舒筋止痛
祛风除湿,化痰通络
补肾温阳,祛风除湿
祛风除湿
祛风除湿,活血解毒
祛风除湿,杀虫止痒
祛风除湿,活血舒筋
补气养血,祛风除湿
清热解毒,祛风除湿
祛风除湿,散寒通络
补肾强腰,祛风除湿
祛风除湿
祛风除湿,凉血解毒
养血舒筋,祛风除湿
祛风除湿,通络止痛
祛风除湿,活血止痛
补肾强腰,祛风除湿
补肾壮腰,祛风除湿,活血通络
祛风除湿,活血舒筋
祛风除湿,舒筋活络
养血调中,祛风除湿
祛风除湿,舒筋通络
补气养血,祛风除湿,温经散寒
祛风除湿,养血滋阴
祛风除湿,散寒止痛
祛风除湿,通络止痛
祛风除湿,舒筋通络
祛风除湿,养血和络
