黄芩,防风#等分
防风,白芷#4．5g
天南星,防风#等分
黄芩,防风#等分
防风3g,黄芩9g,阿胶15g
远志,干防风15g
草乌,细辛,防风#等分
防风30g,五灵脂,川乌头#60g
防风0.6g,羌活0．9g,红豆2个
防风30g,黄芪,白术#60g
地骨皮,防风#30g,炙甘草7.5g
地骨皮30g,防风30g,甘草15g
防风,芍药,黄芩#30g
牡蛎,白术,防风#90g
川乌60g,防风60g,雄黄30g
川花椒3g,北细辛3g,香白芷3．6g,青防风6g
黄芩,大黄,防风,薄荷#15g
干葛,防风,石膏,甘草
大戟90g,露蜂房,细辛#30g,防风15g
龙胆草,防风,生甘草,细辛#3g
防风,荆芥,甘草,牛蒡子#等分
升麻,荆芥穗,防风#15g,细辛30g
艾叶62g,雄黄6g,防风62g,花椒6g
甘菊花,旋覆花,防风,石膏#等分
萆薢,防风,狗脊,乌头#等分
天麻,天南星,防风#30g,薄荷叶15g
茯苓9g,防风,麦冬,黄芩#6g
地骨皮60g,防风30g,甘草15g,麦冬30g
大黄,荆芥穗,川芎,防风#等分
当归,防风苗,蒺藜,牡丹皮#等分
防风,黄芩,麦冬#90g,白茯苓120g
防风,蝉蜕,猪牙皂荚#45g,天麻60g,
防己9g,桂枝10g,防风9g,甘草10g
防风,当归,川芎,地黄#30g
麦冬,防风,茯苓#30g,人参15g
防风,黄柏#3g,柴胡6g,苍术9g
全当归,酒黄连#120g,防风,枳壳#60g
牡荆子60g,防风90g,皂荚10挺,桑螵蛸60g
黑牵牛,甘草#120g,防风30g,牛蒡子240g
防风,苦参,何首乌,薄荷#等分
羌活,独活,防风,地榆#30g
羌活,防风,柴胡,甘草#500g
天南星30g,菊花22．5g,自然铜30g,防风15g,川芎30g
当归,红花,白芷,防风,南星#等分
防风,羌活,全蝎,薄荷,荆芥#30g
黄芪,赤小豆#30g,土蒺藜,枳实#15g,防风30g
车前子,羚羊角屑,防风,菟丝子#30g,决明子45g
大黄,山栀子,防风,薄荷,川芎,,羌活,甘草#等分
防风3g,苏叶嫩枝4．5g,生姜皮38,淡豆豉9g,秦艽4.5g,络石藤9g,鲜葱白4个,嫩桑枝30g
防风180g,人参60g,川芎,细辛,前胡,羌活,白芷#15g,甘草22g
藿香250g,白芷,前胡#500g,黄芪,甘草,人参#1000g,羌活,防风#1．5kg
巨胜子,麻黄,苦参,荆芥,防风,独活#360g,大风子肉240g,蒺藜120g
细辛,荆芥,白芷,川芎,黄芩,防风,甘草,地骨皮#等分
羌活,独活,防风,当归,牛膝,黄柏,肉桂,白芍药#等分
人参,石菖蒲,生地黄,川芎#30g,朱砂,防风#15g,细辛3g,甘草15g
地龙,五灵脂,威灵仙,防风,马钱子,草乌头#30g,白胶香,乳香#9g
荆芥穗90g,防风,人参,黄芩,麻黄,肉桂,苍术,甘草#45g
白蒺藜,防风,粉草,木贼,山栀#15g,草决明30g,青葙子7．5g,蝉蜕7．5g
人参30g,白术120g,桂,防己,甘草#90g,乌头7枚,防风22．5g,赤茯苓60g
人参,当归#60g,芍药,干桑叶,防风,独活,葛根,甘草#15g
薄荷500g,苏叶250g,黄柏360g,苍术500g,防风500g,杏仁炭250g,甘草250g,青黛130g
大黄75g,防风,黄芪,黄连#45g,漏芦30g,秦艽,苦参,乌梢蛇#60g
天麻30g,防风60g,细辛15g,薄荷叶15g,川芎30g,甘草<炙)30g,吴白芷30g,朱砂30g
玄参15g,乌梅3个,薄荷叶500g,川芎,防风#60g,桔梗15g,砂仁15g,甘草120g
川羌活12g,左秦艽9g,海风藤12g,宣木瓜12g,五加皮12g,川续断12g,软防风12g,北细辛2g,
川芎20～30g,荆芥,防风,全蝎荜茇#10～12g,蜈蚣2条,天麻10g,细辛3～6g
川芎,石膏,升麻,细辛,草乌,白芷,防风,羌活
川芎,羌活,蔓荆子,防风,白芷,细辛,藁本,石膏#等分
薄荷叶240g,川芎,荆芥#120g,香附子240g,防风45g,白芷,羌活,甘草#60g
川羌活,当归,大黄#15g,麻仁,桃仁#30g,皂荚子,防风,秦艽#15g
天麻15g,防风15g,枳壳22．5g,茺蔚子22．5g,白僵蚕15g,白蒺藜30g,凌霄花15g,踯躅花15g
细辛,何首乌,乌药#30g,川乌,淮乌,五月雄小乌豆,防风,粉草#15g
五味子,杏仁,桂心#3g,防风,甘草,赤芍药,川芎#6g,花椒0．9g
牛膝,革薜,杜仲,苁蓉,防风,菟丝子,白蒺藜#等分,桂枝减半
苍术9g,防风4．5g,黄连,木香#1．5g,厚朴,陈皮,枳壳#3g,甘草1．2g
升麻,防风,黄柏,茯苓,芍药,陈皮#15g,连翘,当归#2．1g
乌头,地龙,羌活,虎骨,延胡索,当归,没药,防风#30g
人参,生地,川芎,朱砂,防风,细辛,石菖蒲,甘草#3g
肉桂3g,当归9g,玄胡索15g,白芷15g,苍术30g,赤芍药15g,防风30g,荆芥120g
生地,黄甘菊,防风,枳壳,决明子,石决明,白芍,茯神#等分
白芷,防风,连翘,石膏,荆芥,赤芍药,升麻,薄荷
生黄芪310g,防风250g,炒白术250g,桂枝310g,白芍310g,生姜150g,甘草150g,大枣310g
黄芪,防风,白茯苓,白术#0．3g,麻黄根,甘草,牡蛎#1．5g,小麦5粒
地骨皮,茺蔚子#45g,防风,黄芩,玄参,大黄,细辛#30g,芒硝60g
川芎,白芷,苏叶,香附#3g,陈皮,防风,羌活#24g,甘草1．5g
荆芥15g,防风9g,半夏9g,陈皮3g,天花粉4．5g,茯苓9g,黄芩6g,苏叶3g
威灵仙,附子,桔梗,防风,蔓荆子,枳壳,川芎,当归#等分
淡竹叶24片,防风,人参,桂枝,桔梗,前胡,陈皮,茯苓#3g
大南星25个,大半夏50个,皂荚120g,白矾120g,盐120g,桔梗60g,防风120g,芒硝120g
防己30g,竹沥,防风30g,升麻30g,桂30g,麻黄45g,川芎30g,羚羊角30g
防己60g,防风,川芎,附子,甘草,当归,陈皮#30g,赤小豆54g
防风,决明子,人参,车前子#45g,黄连,菊花,槐实,蓝实#30g
防风,桂心,知母#12g,白术,生姜#15g,芍药,甘草#9g,附子6g
防风,甘草,黄芩,白茯苓,当归#15g,杏仁50枚,秦艽7．5g,麻黄30g
细辛,蔓荆子#o．9g,葛根,防风#1．5g,当归身2．5g,炙甘草,黄连,人参#3g
防风,羌活,白附子,甘草,川芎,白茯苓,全蝎,人参#等分
黄芪,附子,甘草,苍术,陈皮,羌活,防风,桔梗#等分
防风,甘葛,茯苓#2．4g,麦冬2．4g,芍药,黄芩#1．8g,犀角1．2g,甘草0．9g
白术,茯苓,防风#15g,巴戟天9g,肉桂3g,桂枝2．4g,天花粉,黄芪#6g
防风,天麻,半夏#15g,天南星,干姜,川乌#30g,川芎,甘草#60g
当归,川芎,芍药,熟地,防风#30g,白术60g,羌活15g,苍术2．5kg
芦荟,防风#15g,白附子,白术,天麻,白芷#30g,朱砂,冰片#3．7g,
苏叶4．5～9g,防风3～4．5g,光杏仁6～9g,羌活3—4．5g,白芷3～4．5g,广陈皮2．4～3g,鲜生姜2．4～3g,浙苓皮6～9g
赤芍,地龙,当归,防风,五加皮#30g,麝香7．5g,乳香,没药#7．5g
赤土75g,防风,赤芍药,地骨皮,何首乌,当归,山栀子仁#60g,甘草30g
菊花,羌活,防风,蝉蜕,蒺藜,川芎,当归,甘草
天南星,半夏#60g,藁本,细辛,川芎,防风,羌活,独活#30g
香白芷o．6g,蔓荆子o．9g,炙甘草,当归身,柴胡#1．5g,升麻,防风#2.1g,黄芪3g
川乌,草乌,苍术,细辛,白芷,薄荷,防风,甘草#等分
山豆根,麦冬#3g,牛蒡子,玄参,桔梗#2．1g,甘草0．6g,防风1．5g,绿豆49粒
蛇床子,菟丝子,远志,防风,巴戟天,五味子,杜仲,肉苁蓉#30g
苍术,酒黄柏,酒芍药,陈皮,防风,威灵仙,山楂,当归
羌活,防风,桔梗,白附子,枳壳,白蒺藜#15g,蔓荆实9g,皂荚250g
羌活,苍术#8g,川芎,白茯苓,防风,枳壳,桔梗#5g,甘草2g
芍药,细辛,桔梗,车前子,人参,茯苓#30g,羌活,防风#60g
附子15g,防风15g,枳壳15g,羌活15g,白芷15g,甘草15g,蜂房15g,花椒60g
石决明,细辛,知母,生地黄,防风#30g,兔肝一具,五味子,人参#75g
石决明,车前子,人参,甘菊花,槐子,熟地黄#30g,茺蔚子60g,防风60g
酒黄芩6g,白芷4．5g,羌活,防风,柴胡梢#3g,川芎3．6g,荆芥2．4g,甘草1．5g
苦参500g,防风,荆芥,苍耳子,胡麻#250g,川乌,白芷#45g,黑蛇1条
车前子,知母,茺蔚子,人参,防风,黑参#6g,黄芩4．5g,茯苓6g
木贼30g,防风18g,柴胡18g,青葙子24g,蝉蜕30g,黄芩18g,菊花24g,车前子24g
败龟版30g,没药,肉桂,自然铜,骨碎补,当归,白芷,防风#15g
知母,茺蔚子#30g,防风,细辛#45g,桔梗,大黄,茯苓,芒硝#45g
银花62g,菊花62g,黄连9g,土茯苓31g,玉米仁15g,防风15g,蝉蜕9g,甘草9g
白芷4.5g,升麻3g,枳壳3g,黄芩3g,防风3g,半夏3g,石斛3g,甘草1.5g
黄芪45g,防风,远志,地骨皮,人参,茯苓,大黄#30g,知母60g
细辛,人参,茯苓,车前子,五味子,黑参,防风,地骨皮#45g
黄芪3．6g,白术,牡蛎,茯苓,防风,麦冬,地黄#2．4g,大枣8个
苍术500g,川芎250g,细辛120g,防风,白芷#250g,草乌120g,川乌150g,天麻60g
人参,当归,防风,黄芪,芍药,麦冬#60g,独活,白术,桂心#90g
羌活4．5g,防风4．5g,川芎3g,细辛1．5g,甘草3g,苍术3g,香白芷3g,黄芩3g,生地3g
川芎,半夏,防风#30g,甘草15g,全蝎3个,附子,川乌,木香,南星#15g
大麻仁60g,防风30g,枳壳30g,旋覆花30g,川大黄90g,木香30g,槟榔30g,川升麻30g,杏仁30g
川芎,柴胡#30g,半夏曲,甘草,甘菊,细辛,人参,前胡,防风#15g
天麻,荆芥穗,生地黄,独活,当归,桂,白僵蚕,防风,延胡索#15g
天南星15g,细辛15g,附子15g,防风15g,天麻30g,半夏15g,禹白附15g,旋覆花15g,川芎15g
防风,白术,茯苓,川芎#3g,陈皮,半夏#4．5g,白芷1.5g,天麻2g,甘草1g
天麻30g,防风30g,羌活30g,甘草30g,人参15g,桔梗30g,白术15g,川芎15g,半夏曲30g
明天麻9g,防风9g,钩藤9g,僵蚕6g,全蝎6g,蜈蚣1条,生石膏60g,甘草3g,犀角3g
木乳30s,旋覆花15g,枳壳22g,石膏60g,甘菊花15g,,川芎15g,甘草15g,荆芥22g
木通,石菖蒲,防风,枳壳,全蝎,僵蚕,甘草,木香,南星
五加皮60g,杜仲120g,萆薢60g,狗脊60g,阿胶60g,防风60g,川芎90g,细辛30g,杏仁60g
石膏12g,升麻4．5g,大生地15g,防风,薄荷叶,荆芥穗,前胡,天麻#6g,甘草3g
白蒺藜,当归,熟地黄#60g,川芎,白芍,木贼,防风,羌活#30g,香附60g
当归,桂心#60g,人参,川芎,厚朴,防风,甘草,白芷,桔梗#30g
黄芪30g,当归15g,白术9g,人参3g,茯苓1．5g,防风1．5g,白芥子2．4g,红花0．9g,金银花15g
川芎,白芷,香附,紫苏叶,陈皮,菖蒲,当归,防风,甘草#等分
川升麻30g,当归15g,防风15g,藁本15g,杏仁7．5g,酸枣仁7．5g,细辛7.5g,白芷7．5g,川芎7．5g,
羌活4．5g,独活4．5g,苍术4．5g,防风4．5g,葛根4．5g,藁本4．5g,升麻2．4g,白芷4．5g,炙草4．5g
麻黄1．2g,桂枝,甘草#0．9g,杏仁,白芷,防风#2．4g,升麻1.5g,羌活,川芎#3g
黑豆750g,天麻,羚羊角屑,防风,赤茯苓,羌活,桂心,酸枣仁,生地黄#30g
乌梢蛇90g,天南星30g,干蝎30g,禹白附30g,羌活30g,白僵蚕30g,麻黄60g,,防风22．5g,桂心30g
石决明60g,细辛15g,桔梗,防风,茺蔚子,车前子,茯苓,山药,玄参#60g
竹沥,生地黄汁,冰片,生姜,防风,麻黄#12g,防己,附子#9g,石膏15g
当归,白术,苍术,防风#9g,木通3g,茯苓,猪苓#12g,桂枝,甘草#3g
枳壳4．5g,桔梗6g,防风,茯苓#4．5g,瓜蒌仁3g,紫苏子2．4g,甘草3g,杏仁2．18,半夏4．5g
石决明,车前子,细辛,人参,白茯苓,柏子仁,防风#30g,山药,茺蔚子#60g
石决明3g,人参3g,茯苓3g,车前子3g,细辛1．5g,防风6g,大黄3g,茺蔚子6g,桔梗4．5g
当归,川芎,白芍药,熟地黄,羌活#3g,防风,防己#1．5g,黄连1g,龙胆草1．5g
当归,川芎,白芍,生地,木瓜,钩藤,川断,丹皮,防风
生地黄15g,郁李仁15g,牛膝,防风,桂心,海桐皮,羌活,白茯苓,薏苡仁#7．5g
白蒺藜,防风,道人头,蛇床子,卷柏,黄芪,漏芦#45g,羊蹄根60g,蒴藿根90g
白鲜皮12g,麻黄15g,白茯苓22．5g,防风,独活,杏仁,当归,芍药#12g,桂7．5g
白鲜皮,人参,白芷,防风,黄芩,知母,沙参,犀角#15g,甘草7．5g
白芷,防风,白蒺藜,川当归,川芎,地龙,黄连,龙胆草,甘草
半夏18g,宿姜15g,茯苓,桂心,枳实,陈皮#9g,白术12g,防风,远志#6g
淡全蝎6g,皂角刺12g,苦参9g,白鲜皮15g,刺蒺藜15g,枳壳9g,威灵仙15g,防风4．5g,黄柏9g
熟地黄45g,黄连30g,决明子30g,没药,甘菊花,防风,羌活,桂心,朱砂#15g
熟地黄30g,磁石60g,防风0．9g,羌活0．9g,黄芪30g,白芍药,木通,桂心#0．9g,人参30g
地肤子l0g,防风l0g,独活l0g,荆芥l0g,白芷l0g,赤芍l0g,花椒l0g,桑白皮l0g,苦参l0g
芍药,川芎,当归,防风,桂#15g,甘草,生地黄#30g,枳壳,白术#15g
川芎,芍药,牡丹皮#45g,羌活,甘菊花,防风,甘草#60g,柴胡,半夏#30g
麻油120g,石蟹1枚,防风30g,蛤蚧1对,灯心灰7．5g,蜈蚣1条,全蝎7个,血竭7．5g,黄连15g,当归15s
甘菊花,黄连#4．5g,防风,荆芥,白芷#9g,红花,当归#3g,芒硝6g,白矾1．5g
全蝎14枚,朱砂,天麻,白附子,蝉蜕#6g,麝香1．5g,防风,白僵蚕#3g,金箔10片
当归30g,细辛30g,防风30g,桂心30g,独活60g,麻黄60g,附子30g,川芎30g,薏苡仁30g
当归,生地#30g,紫草,麻黄,马钱子,大风子,防风,黄柏,玄参#15g,麻油240g,黄蜡60g
巴戟天15g,茯苓30g,山药15g,防风1．5g,炒栀子3g,白芍15g,当归10g,白术30g,甘草3g
竹沥15g,防风45g,升麻30g,羌活,桂,川芎,羚羊角屑#30g,麻黄45g,杏仁80枚
茯神,益智,防风,人参,桑寄生,藿香叶,甘草,沉香,熟地黄#等分
川乌,草乌#15g,麻黄45g,川芎,防风,羌活#30g,地龙,雄黄#9g,全蝎10个
葛根4．5g,升麻,防风,白芷#3g,黄芪2．4g,人参2．1g,甘草1．2g,芍药,苍术#0．9g
石决明,细辛,防风,车前子,人参,白茯苓,大黄,茺蔚子#30g,桔梗15g
羊心1枚,甘草30g,远志15g,防风30g,生地黄45g,芍药,牡蛎#30g,人参45g,羚羊角15g
白乳羊肝1具,黄连30g,甘菊,防风,薄荷,荆芥,羌活,当归,川芎#9g
防己30g,羌活30g,当归60g,防风30g,白芍30g,川芎30g,米仁120g,甘草18g,羚羊角30g
天麻,防风,人参#30g,全蝎7个,僵蚕,粉草#15g,朱砂,雄黄#10．5g,麝香1．5g
石斛45g,熟地黄,杜仲,丹参#37．5g,防风,川芎,麦冬,桂枝,川独活#30g
防风,当归,赤茯苓,杏仁,秦艽,葛根,羌活,桂枝,甘草
防风7．5g,僵蚕7．5g,白附子,7．5g,川芎15g,荆芥7．5g,雄黄3g,全蝎7个,朱砂3g,麝香少许
防风30g,赤芍,桂心#15g,羚羊角,川芎,羌活,当归,酸枣仁,牛蒡子#6g
防风,远志,桔梗,羚羊角,甘草,赤芍药,细辛,人参,黄芩#等分
